Sample Size,Minimum Points per Thread,Number of Threads,Popularity,Query Time (s),Build Time (s),kNN Time (s),Range Search Time (s),Number of tracks
500,100000,2,50,0.246257,0.215918,0.0537971,0,77892
500,400000,2,50,0.248526,0.215703,0.0479987,0,77892
500,10000,4,50,0.243902,0.291227,0.0607243,0,77892
500,50000,4,50,0.246612,0.295459,0.0529586,0,77892
500,100000,4,50,0.249778,0.21593,0.0579517,0,77892
500,400000,4,50,0.24912,0.214717,0.0550422,0,77892
500,10000,8,50,0.248568,0.387433,0.0573699,0,77892
500,50000,8,50,0.249388,0.295358,0.0426793,0,77892
500,100000,8,50,0.248095,0.218239,0.0521205,0,77892
500,400000,8,50,0.249901,0.214982,0.0487103,0,77892
500,10000,16,50,0.250035,0.421874,0.0693069,0,77892
500,50000,16,50,0.250656,0.293811,0.0557283,0,77892
500,100000,16,50,0.248578,0.214562,0.0492756,0,77892
500,400000,16,50,0.250029,0.214302,0.0648562,0,77892
4000,10000,1,50,0.250582,0.349399,0.0496308,0,77892
4000,10000,2,50,0.248989,0.47372,0.0503805,0,77892
4000,50000,2,50,0.249733,0.469696,0.0490711,0,77892
4000,100000,2,50,0.250111,0.347852,0.0514728,0,77892
4000,400000,2,50,0.251188,0.350221,0.0516999,0,77892
4000,10000,4,50,0.248422,0.46875,0.0628484,0,77892
4000,50000,4,50,0.247963,0.460616,0.0503935,0,77892
4000,100000,4,50,0.247774,0.350836,0.0654777,0,77892
4000,400000,4,50,0.248017,0.350087,0.0510564,0,77892
4000,10000,8,50,0.248761,0.686361,0.0513805,0,77892
4000,50000,8,50,0.247499,0.474283,0.0612881,0,77892
4000,100000,8,50,0.2453,0.350101,0.0517339,0,77892
4000,400000,8,50,0.24743,0.354547,0.0484107,0,77892
4000,10000,16,50,0.247916,0.718607,0.0666573,0,77892
4000,50000,16,50,0.250072,0.467278,0.0631878,0,77892
4000,100000,16,50,0.249923,0.351401,0.0526552,0,77892
4000,400000,16,50,0.249562,0.356921,0.052174,0,77892
10000,10000,1,50,0.246671,0.467972,0.064747,0,77892
10000,10000,2,50,0.249975,0.65746,0.0666194,0,77892
10000,50000,2,50,0.247323,0.659336,0.050722,0,77892
10000,100000,2,50,0.248909,0.465827,0.048547,0,77892
10000,400000,2,50,0.245464,0.473182,0.0499752,0,77892
10000,10000,4,50,0.249837,0.62102,0.051056,0,77892
10000,50000,4,50,0.247938,0.617482,0.0491994,0,77892
10000,100000,4,50,0.248015,0.474551,0.0616908,0,77892
10000,400000,4,50,0.249771,0.467198,0.0500057,0,77892
10000,10000,8,50,0.249593,0.928214,0.0639449,0,77892
10000,50000,8,50,0.246959,0.635281,0.0638709,0,77892
10000,100000,8,50,0.248011,0.465313,0.0501258,0,77892
10000,400000,8,50,0.250331,0.471294,0.0518732,0,77892
10000,10000,16,50,0.245989,0.909128,0.050585,0,77892
10000,50000,16,50,0.24933,0.605178,0.0625266,0,77892
10000,100000,16,50,0.253528,0.464852,0.0497503,0,77892
10000,400000,16,50,0.251343,0.469743,0.0646229,0,77892
50,10000,1,70,0.0280826,0.00798642,0.0143356,0,6920
50,10000,2,70,0.0297046,0.00839201,0.0145528,0,6920
50,50000,2,70,0.0271153,0.00797552,0.0144793,0,6920
50,100000,2,70,0.0266677,0.00823285,0.0144737,0,6920
50,400000,2,70,0.0302549,0.00799073,0.0143512,0,6920
50,10000,4,70,0.0270205,0.00811792,0.0145866,0,6920
50,50000,4,70,0.0265817,0.0082053,0.0145957,0,6920
50,100000,4,70,0.0270516,0.00797482,0.0143047,0,6920
50,400000,4,70,0.0264433,0.00796578,0.014365,0,6920
50,10000,8,70,0.0289944,0.00784797,0.0147375,0,6920
50,50000,8,70,0.0264654,0.00828013,0.0147365,0,6920
50,100000,8,70,0.0304317,0.00806297,0.0144908,0,6920
50,400000,8,70,0.0283608,0.00811637,0.0147225,0,6920
50,10000,16,70,0.026165,0.00836809,0.0142959,0,6920
50,50000,16,70,0.0278787,0.00810399,0.014421,0,6920
50,100000,16,70,0.0264327,0.00804495,0.014325,0,6920
50,400000,16,70,0.0262141,0.00809904,0.0150357,0,6920
500,10000,1,70,0.0263698,0.0162192,0.00656426,0,6920
500,10000,2,70,0.0304974,0.0164738,0.006394,0,6920
500,50000,2,70,0.0262184,0.0167541,0.00648768,0,6920
500,100000,2,70,0.0255136,0.016343,0.00644997,0,6920
500,400000,2,70,0.0274164,0.0163739,0.00645329,0,6920
500,10000,4,70,0.0263417,0.0164343,0.00653223,0,6920
500,50000,4,70,0.0267731,0.016391,0.00655037,0,6920
500,100000,4,70,0.0265425,0.0164671,0.00639787,0,6920
500,400000,4,70,0.025723,0.0164034,0.00634812,0,6920
500,10000,8,70,0.0262373,0.0164744,0.00636375,0,6920
500,50000,8,70,0.0263852,0.01645,0.00667707,0,6920
500,100000,8,70,0.0282645,0.0164724,0.00654135,0,6920
500,400000,8,70,0.026595,0.0166809,0.00662581,0,6920
500,10000,16,70,0.0262985,0.0164647,0.00634963,0,6920
500,50000,16,70,0.0263185,0.0163084,0.00637157,0,6920
500,100000,16,70,0.0260578,0.0163149,0.0065058,0,6920
500,400000,16,70,0.0257536,0.0165334,0.00637195,0,6920
4000,10000,1,70,0.0270223,0.0286329,0.00694512,0,6920
4000,10000,2,70,0.0260685,0.0282687,0.00661954,0,6920
4000,50000,2,70,0.0296687,0.0285603,0.00667677,0,6920
4000,100000,2,70,0.0273099,0.0284891,0.00690867,0,6920
4000,400000,2,70,0.0286269,0.0288171,0.00665078,0,6920
4000,10000,4,70,0.0301382,0.028575,0.00702798,0,6920
4000,50000,4,70,0.0274912,0.028619,0.00669477,0,6920
4000,100000,4,70,0.0267335,0.0286417,0.00661558,0,6920
4000,400000,4,70,0.0265528,0.0286918,0.00659793,0,6920
4000,10000,8,70,0.0279377,0.0286491,0.00699859,0,6920
4000,50000,8,70,0.0267123,0.0287944,0.00671484,0,6920
4000,100000,8,70,0.0289511,0.0289931,0.0069686,0,6920
4000,400000,8,70,0.0275181,0.0288106,0.00676426,0,6920
4000,10000,16,70,0.0264317,0.0283298,0.00677673,0,6920
4000,50000,16,70,0.0283624,0.0287893,0.0066467,0,6920
4000,100000,16,70,0.0274542,0.0287493,0.00698623,0,6920
4000,400000,16,70,0.0277574,0.0288017,0.00670088,0,6920
10000,10000,1,70,0.0260388,0.0330902,0.00692082,0,6920
10000,10000,2,70,0.0278595,0.0327031,0.00684743,0,6920
10000,50000,2,70,0.0260495,0.0329419,0.00730777,0,6920
10000,100000,2,70,0.0276803,0.0326975,0.00662491,0,6920
10000,400000,2,70,0.0283715,0.032363,0.00671512,0,6920
10000,10000,4,70,0.0283048,0.0323775,0.0066628,0,6920
10000,50000,4,70,0.0266562,0.0328171,0.00667422,0,6920
10000,100000,4,70,0.0290572,0.0328889,0.00665768,0,6920
10000,400000,4,70,0.0278809,0.0328617,0.00671065,0,6920
10000,10000,8,70,0.0262905,0.0326029,0.00659495,0,6920
10000,50000,8,70,0.0289686,0.0321646,0.00680653,0,6920
10000,100000,8,70,0.0263135,0.0330281,0.00668532,0,6920
10000,400000,8,70,0.0270277,0.032623,0.00659597,0,6920
10000,10000,16,70,0.0256581,0.0323617,0.00688057,0,6920
10000,50000,16,70,0.0274024,0.0327315,0.0065979,0,6920
10000,100000,16,70,0.0258242,0.0326463,0.0065962,0,6920
10000,400000,16,70,0.0261198,0.0328298,0.00663505,0,6920
50,10000,1,90,0.0021075,0.000141065,0.000917188,0,82
50,10000,2,90,0.00213329,0.000103333,0.000635901,0,82
50,50000,2,90,0.00219386,0.00010152,0.000641573,0,82
50,100000,2,90,0.00208924,0.000108934,0.000639348,0,82
50,400000,2,90,0.00223852,0.000102272,0.00064057,0,82
50,10000,4,90,0.00216275,0.000102502,0.000645901,0,82
50,50000,4,90,0.00207693,0.000105567,0.000637525,0,82
50,100000,4,90,0.00210324,0.000105668,0.000949419,0,82
50,400000,4,90,0.00211112,0.000113322,0.000672319,0,82
50,10000,8,90,0.00216454,0.000105448,0.000872014,0,82
50,50000,8,90,0.00243065,0.000106619,0.000636583,0,82
50,100000,8,90,0.00235617,0.00010174,0.000648405,0,82
50,400000,8,90,0.0024204,0.000106439,0.000649587,0,82
50,10000,16,90,0.00216366,0.000103654,0.000812183,0,82
50,50000,16,90,0.00214322,0.000102232,0.000890899,0,82
50,100000,16,90,0.00214021,0.000104736,0.000632866,0,82
50,400000,16,90,0.00223384,0.000100799,0.000664475,0,82
500,10000,1,90,0.00206731,0.000124353,0.000773459,0,82
500,10000,2,90,0.00222344,0.000120997,0.000655558,0,82
500,50000,2,90,0.00244681,0.000128581,0.000636723,0,82
500,100000,2,90,0.00219633,0.000124293,0.000632214,0,82
500,400000,2,90,0.00217186,0.000119063,0.000781414,0,82
500,10000,4,90,0.0021288,0.000121097,0.000636713,0,82
500,50000,4,90,0.00217588,0.000121026,0.000640641,0,82
500,100000,4,90,0.00224934,0.000120325,0.000725029,0,82
500,400000,4,90,0.00217425,0.000120506,0.000634439,0,82
500,10000,8,90,0.00215625,0.00012256,0.000636603,0,82
500,50000,8,90,0.00209834,0.000120726,0.000649277,0,82
500,100000,8,90,0.00210482,0.000121628,0.000938299,0,82
500,400000,8,90,0.00210462,0.000121628,0.000665567,0,82
